map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,peak_lps,mean_lps,calibration,drifted_%,passed,fail
LR_LR_LR_LR_LR,E,1,commercial,low,0.05,1.0,8.500293731689453,48.461639404296875,99.43109987357775,931.156387161625,401.1965420366574,1.0,100.0,True,
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,0.0,30.409862518310547,48.46117401123047,100.0,671.297423495741,303.0855490815283,1.0,100.0,True,
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,0.25,29.867881774902344,48.46117401123047,100.0,681.0556134256981,333.24864828719956,1.0,100.0,True,
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,0.5,24.248620986938477,48.46117401123047,100.0,772.9010245264915,385.79280734601826,1.0,100.0,True,
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,0.75,10.319472312927246,48.46117401123047,100.0,966.65007081219,477.3248108645179,1.0,100.0,True,
LR_LR_LR_LR_LR,E,1,industrial,low,0.05,1.0,-21.076749801635742,48.46117401123047,79.26850681275461,1304.2390646577273,636.7737086147667,1.0,100.0,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,0.0,29.867435455322266,48.469058990478516,100.0,679.7657224497219,304.06561096575473,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,0.25,29.65402603149414,48.4674186706543,100.0,683.8468511463151,313.1263221922404,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,0.5,29.02435302734375,48.46541213989258,100.0,696.0786072194367,324.0626354481083,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,0.75,26.819433212280273,48.46295166015625,100.0,736.3757022743605,337.2628044550231,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,mixed,low,0.05,1.0,24.009906768798828,48.46117401123047,100.0,785.0139239928268,353.19545199779014,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,0.0,30.024372100830078,48.47260665893555,100.0,676.7541435840561,302.7291354052829,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,0.25,29.709857940673828,48.471153259277344,100.0,682.7863710641318,318.0514028851178,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,0.5,28.283050537109375,48.469120025634766,100.0,709.6640890500393,338.9062934338134,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,0.75,23.23109245300293,48.466251373291016,100.0,793.2576557035995,367.2915353953635,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,commercial,low,0.05,1.0,10.169078826904297,48.46220397949219,100.0,973.4325443322086,405.92619797633716,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,0.0,30.181241989135742,48.46117401123047,100.0,673.715741256214,302.64231825099796,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,0.25,29.652219772338867,48.46117401123047,100.0,683.8684442300746,334.06407703602275,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,0.5,24.447229385375977,48.46117401123047,100.0,776.6161807227812,388.8009753521267,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,0.75,11.115203857421875,48.46117401123047,100.0,979.9817626997839,484.1529353399976,1.0,100.0,True,
LR_LR_LR_LR_LR,A+D,2,industrial,low,0.05,1.0,-18.582963943481445,48.46117401123047,78.7329681134991,1334.2500517662247,650.2564692608883,1.0,100.0,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,A+B+C+D+E,5,mixed,low,0.05,0.0,29.434520721435547,48.491764068603516,100.0,687.3002485058516,291.1497119060575,1.0,100.0,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,mixed,low,0.05,0.25,21.48543357849121,48.48832702636719,100.0,829.6092547484387,323.75182867865016,1.0,100.0,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,mixed,low,0.05,0.5,10.222317695617676,48.483463287353516,100.0,1001.3798594348601,363.1027012582089,1.0,100.0,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,mixed,low,0.05,0.75,-5.736405372619629,48.47657012939453,91.48230088495575,1208.710982267385,410.5993361032305,1.0,100.0,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,A+B+C+D+E,5,commercial,low,0.05,0.0,21.34928321838379,48.49740219116211,100.0,832.0592372747216,286.3311867069289,1.0,100.0,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,commercial,low,0.05,0.25,0.4407205283641815,48.495399475097656,94.12312122489114,1132.5777628462524,341.4603576096431,1.0,100.0,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,A+B+C+D+E,5,industrial,low,0.05,0.0,30.66824722290039,48.46117401123047,100.0,662.9316956672242,286.3173730752624,1.0,100.0,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,industrial,low,0.05,0.25,29.29325294494629,48.46117401123047,100.0,690.6561496516408,399.59287522210377,1.0,100.0,True,
LR_LR_LR_LR_LR,A+B+C+D+E,5,industrial,low,0.05,0.5,-5.185897350311279,48.46117401123047,88.76949009692372,1203.1031986735568,596.9193500424274,1.0,100.0,False,"V3_floor,V4_band"
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,0.0,33.67441940307617,48.47938537597656,100.0,587.6378192158155,302.2197612515977,1.0,100.0,True,
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,0.25,34.37104415893555,48.481300354003906,100.0,577.9591938302557,303.29425068101676,0.8991389695542936,100.0,True,
LR_LM_LC_LR_LR,A,1,mixed,low,0.05,0.5,35.05460739135742,48.48317337036133,100.0,575.6054989457164,304.28621992352606,0.7974603006999381,100.0,True,
