map,targets,n_targets,to_land_use,to_income,anchor_scale,beta,pmin,pmax,inside_%,drifted_%,front_done,peak_lps,mean_lps,calibration,mass_err,dd_err,passed,fail
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,0.25,29.066675186157227,48.387882232666016,100.0,100.0,True,694.8620972484048,327.1629615011566,1.0,2.1104978031871724e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,0.5,27.878162384033203,48.30320739746094,100.0,100.0,True,722.2383667977329,350.9550755254625,1.0,9.935529021731782e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,0.75,25.63785171508789,48.0973014831543,100.0,100.0,True,771.5758352801677,393.8254614160244,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,A,1,industrial,low,0.05,1.0,21.28449249267578,47.56294631958008,100.0,100.0,True,860.4876362812663,471.0724847166072,1.0,1.5342385495387134e-07,1.473166664213155e-07,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,0.0,32.696659088134766,48.44563293457031,100.0,100.0,True,612.2337716874363,309.5811229941834,1.0,1.104666011997324e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,0.25,30.931659698486328,48.433563232421875,100.0,100.0,True,653.0888600998,337.5140952076933,1.0,1.0295175201235907e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,0.5,28.540531158447266,48.41659164428711,100.0,100.0,True,705.1434023028575,373.1010633479891,1.0,9.47406775253512e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,0.75,25.263813018798828,48.392425537109375,100.0,100.0,True,771.6812201100828,418.4393213657272,1.0,8.600195400276789e-08,1.632193064455473e-07,True,
LR_LR_LR_LR_LR,B,1,mixed,low,0.05,1.0,20.682462692260742,48.35758972167969,100.0,100.0,True,857.1104336942459,476.20084889960697,1.0,7.69583223814152e-08,1.5986143923058909e-07,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,0.0,33.56253433227539,48.43722915649414,100.0,100.0,True,591.2381518592288,307.8781078107629,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,0.25,31.02713966369629,48.41001510620117,100.0,100.0,True,650.9366787549119,354.575733282586,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,0.5,26.92671775817871,48.36214065551758,100.0,100.0,True,738.46386106349,423.02841116040423,1.0,0.0,1.8405046312406367e-07,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,0.75,11.936272621154785,48.27538299560547,100.0,100.0,True,947.3719454204314,523.3711815111516,1.0,0.0,1.2838285878284625e-07,True,
LR_LR_LR_LR_LR,B,1,commercial,low,0.05,1.0,-19.83842658996582,48.11396026611328,65.1654024441635,100.0,True,1312.3910783484012,670.4607019479483,1.0,2.2658889520243974e-07,1.6233096136943312e-07,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,0.0,34.27603530883789,48.161380767822266,100.0,100.0,True,573.3968842714835,304.1719787880295,1.0,1.1090915563727322e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,0.25,30.545732498168945,47.6651725769043,100.0,100.0,True,661.7309169102556,381.577810358512,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,0.5,22.654401779174805,46.28187942504883,100.0,100.0,True,820.9055892147873,521.0533469256424,1.0,6.967095345089547e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,B,1,industrial,low,0.05,0.75,3.0685536861419678,42.32107162475586,89.87041719342605,100.0,True,1107.7288410448607,772.3706560482175,1.0,9.73835412310109e-08,1.4940042180914328e-07,False,"V3_floor,V4_band"
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,0.0,30.11945343017578,48.45426559448242,100.0,100.0,True,673.9385260037401,314.2818814000268,1.0,1.0934066807521958e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,0.25,29.42871856689453,48.45062255859375,100.0,100.0,True,687.8871471268313,323.6347177344854,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,0.5,28.529903411865234,48.445804595947266,100.0,100.0,True,705.6602460024096,335.55035227962685,1.0,1.0356519197785019e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,0.75,27.35435676574707,48.439361572265625,100.0,100.0,True,728.3060845670111,350.73102491582654,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,mixed,low,0.05,1.0,25.80764389038086,48.43067932128906,100.0,100.0,True,757.1602014383043,370.0713983398695,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,0.0,30.478784561157227,48.45172119140625,100.0,100.0,True,666.577102671952,313.7116584332805,1.0,1.094455228667357e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,0.25,29.479658126831055,48.444026947021484,100.0,100.0,True,686.8678391725375,329.3474899841587,1.0,1.0510597547863654e-07,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,0.5,27.9653263092041,48.43181610107422,100.0,100.0,True,716.6191036083918,352.26759629984093,1.0,9.933255284977349e-08,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,0.75,25.63946533203125,48.41192626953125,100.0,100.0,True,760.2398937229914,385.86550708653454,1.0,0.0,1.6259215396043984e-07,True,
LR_LR_LR_LR_LR,C,1,commercial,low,0.05,1.0,22.00667953491211,48.378604888916016,100.0,100.0,True,824.1935703916962,435.1156978877121,1.0,8.287718600286098e-08,1.3627687860994975e-07,True,
LR_LR_LR_LR_LR,C,1,industrial,low,0.05,0.0,30.785768508911133,48.38824462890625,100.0,100.0,True,660.229103678929,312.4707300451712,1.0,0.0,1.6259215396043984e-07,True,
